"time","slipAngleFrontWheel","slipAngleRearLeftWheel","slipAngleRearRightWheel","forceFrontWheel[1,2]","forceRearLeftWheel[1,2]","forceRearRightWheel[1,2]"
0,0,0,0,0,0,0
0.1,-0.005015486987451287,-0.0002285584550943019,-0.0002281583174969194,-92.19082634228904,-6.311312513547591,-6.300568210759844
0.2,-0.008844407205989063,-0.001694891980309056,-0.001685293528391619,-161.9859725949617,-46.79249239958079,-46.5309213047242
0.3,-0.01246132476610262,-0.004117023845090957,-0.004073715256675901,-227.0327059141139,-113.553572880061,-112.3708616368662
0.4,-0.01611444295572963,-0.007029405391356302,-0.006918666188062294,-291.4907341932259,-193.4540783817384,-190.4426225081006
0.5,-0.01987732689729376,-0.01018842173164289,-0.009973020713453899,-356.1981987111781,-279.3555849562851,-273.5542054114094
0.6,-0.02378017302155355,-0.01349738958133563,-0.01313841344779582,-421.0798401035879,-368.1050038885942,-358.5810882558198
0.7,-0.02784801943774495,-0.01692425778248216,-0.01638139866737339,-485.8082929353127,-458.2628826413043,-444.1563409577786
0.8,-0.03211263428576219,-0.02046104115932796,-0.01969264162801502,-549.9480893668227,-548.9673717495425,-529.5335627268572
0.9,-0.03661927003743455,-0.02410756796722486,-0.02307080121359143,-612.9519375927786,-639.4710229254566,-614.1335003505428
1,-0.04143553012426732,-0.02786511638986828,-0.02651642333124834,-674.0901059990847,-728.9559708103152,-697.3714146553826
1.1,-0.04666973753906603,-0.03173305372599845,-0.03002902856303793,-732.3080267514317,-816.4434018067235,-778.5801884222294
1.2,-0.05251212260155719,-0.03570269876406786,-0.03360204802458151,-785.8657934371603,-900.6716770164026,-856.9053590508452
1.3,-0.05935313951584707,-0.03974325084540498,-0.03721150971593013,-831.2767053916224,-979.8954804505628,-931.1225724228203
1.4,-0.06828602481131431,-0.04375909672945028,-0.04078225837746129,-858.5664085281834,-1051.393986230601,-999.1680378375922
1.5,-0.08711894745452858,-0.04748106456766734,-0.0441488578737825,-846.636058266852,-1110.587541166328,-1057.942698947081
1.6,-0.08056114215270808,-0.04766910610324471,-0.04450952460158165,-853.4967332364748,-1113.445019500109,-1063.872533542422
1.7,-0.2095635227400538,-0.04430680932383642,-0.04154698047699551,-601.4603316309888,-1060.551828802262,-1012.963299181549
1.8,-0.1102611668536376,-0.04045282372732686,-0.03805651156164502,-798.2556298112717,-993.0860310349165,-947.6824519366497
1.9,-0.03544416645207443,-0.03755920453463732,-0.03540481248647304,-597.2244811460245,-938.0057771397703,-894.5529993690881
2,-0.09746445201386701,-0.03572307007654006,-0.03370193756370267,-827.6828690053952,-901.0881784489171,-858.9797387251467
2.1,-0.03008737156837274,-0.03468969522882682,-0.03274196453216668,-519.8319410480336,-879.8188985011741,-838.4043721780221
2.2,-0.03899873658093638,-0.03406387560650716,-0.03215374611854675,-644.5796808539737,-866.680859904405,-825.6424316764378
2.3,-0.3569382345684611,-0.03361199515520349,-0.03171911439685495,-601.4514911286481,-857.0091307510284,-816.1620982292189
2.4,-0.0358584703987747,-0.03333740525515359,-0.03146174048093288,-603.1354668648549,-851.2588171314673,-810.4643031545883
2.5,-0.02678452343800349,-0.03306397156388268,-0.03119669513150708,-464.711100411761,-845.4052995238153,-804.6025895551569
2.6,-0.01951386985764366,-0.03282355307114335,-0.03096310486225756,-346.777209785855,-840.2346338717098,-799.4189974519708
2.7,-0.03754627743618647,-0.03260403534999763,-0.03074904396974331,-625.9308876717967,-835.4833356800704,-794.6552080554575
2.8,-0.3233982138887734,-0.03235785615598877,-0.03050275106811401,-601.3612272298446,-830.0401409196421,-789.1746562436607
2.9,-0.2776611323255888,-0.0321726011765957,-0.03032013665218235,-600.9079871143537,-826.0874392466814,-785.0563994144975
3,-0.2250041074907378,-0.03197812211549574,-0.03012555273948739,-601.1191092067874,-821.7745215635069,-780.6960950835714
3.1,-0.01570720815842289,-0.03182288983336208,-0.02997097942025065,-281.5237426137377,-818.4797664758055,-777.1928602515824
3.2,-0.5701566184855987,-0.03160876929054462,-0.02975018633143081,-601.4451279193496,-813.6552991226886,-772.2231096431069
3.3,-0.3445325069115819,-0.03146266525694606,-0.02960167851452842,-601.3073241799589,-810.4335054409895,-768.856028744501
3.4,-0.05978900031795859,-0.03134057469992629,-0.02947702118603625,-832.4645589455322,-807.8156691240157,-766.0059395479507
3.5,-0.02713269760588087,-0.03120405222671756,-0.0293346224222957,-474.2800624738484,-804.8419603454951,-762.7647053476376
3.6,-0.02717924884124305,-0.03106358747859727,-0.02918598394239818,-468.2643923457348,-801.7277109242222,-759.3705652078332
3.7,-0.2189376712083385,-0.03092673393637961,-0.02903944995598557,-600.1627495061927,-798.6666603581388,-756.0207222941658
3.8,-0.3278390574294723,-0.03079968105221682,-0.02890172841996091,-600.802389109542,-795.8201384193313,-752.8691621900099
3.9,-0.3807846579057322,-0.0306842695525292,-0.02877474821422363,-600.9706802476467,-793.2358162761462,-749.9570174811458
4,-0.3933340124873103,-0.03057988681975575,-0.02865781450375524,-600.9958170604472,-790.9014599361773,-747.2695821701889
4.1,-0.3777140802353359,-0.03048573247673211,-0.02855002170509894,-600.9392801577532,-788.7983653594531,-744.7875253210495
4.2,-0.3436298706239,-0.03040098294274546,-0.02845044742238618,-600.8131371435542,-786.9064953656675,-742.4910044466585
4.3,-0.3012694801400349,-0.03032482955725828,-0.02835817868075772,-600.6206188577926,-785.2059508216147,-740.3601300726874
4.4,-0.2627708299039919,-0.03025649695729485,-0.02827234016898279,-600.3914756563547,-783.6777641183339,-738.3755837089597
4.5,-0.240808963641001,-0.03019526802702903,-0.02819212302157053,-600.2291448196897,-782.3047273222794,-736.5192980475591
4.6,-0.2475085912389315,-0.03014052243188812,-0.02811682002572326,-600.2913625853276,-781.071950561226,-734.7753794150374
4.7,-0.2954344642299163,-0.03009145531523741,-0.02804552853766128,-600.6080030118366,-779.9594139517927,-733.1234843061826
4.8,-0.3934539734237226,-0.03004697903849029,-0.02797705820639966,-600.9941770352998,-778.9387134160182,-731.5368939717371
4.9,-0.5283036925506334,-0.03000657847820825,-0.02791085650339811,-601.2853239480935,-777.9932461526307,-730.0041244759669
5,-0.6362835128388247,-0.02997397654993719,-0.02785090474249729,-601.4423198248753,-777.2101585306531,-728.6189631255735
5.1,-0.5991894219573535,-0.02996295001539119,-0.027811865870214,-601.4660844388437,-776.9315298051735,-727.718241254647
5.2,-0.2491514945058738,-0.02999012374760593,-0.02781122729488535,-601.0071631477399,-777.5867459943587,-727.6919961965737
5.3,-0.03886451009028954,-0.03002641589018527,-0.0278178524042728,-643.314885900887,-778.5059056336183,-727.8408904937824
5.4,-0.324331900523224,-0.03002127440296977,-0.0277778475838932,-600.8853147153659,-778.371631750653,-726.9067178015222
5.5,-0.5471864590168021,-0.03002089406249527,-0.02774110429076278,-601.4531577258098,-778.2426053726224,-726.0730332803726
5.6,-0.03136184349316303,-0.03011137888968611,-0.02779818805557181,-539.1858118987199,-780.4328836073117,-727.3858723286012
5.7,-0.6123888562469175,-0.03010158642415243,-0.02774643315070393,-601.4746210922286,-780.0694637443501,-726.1975404769869
5.8,-0.0181702325069927,-0.03021393997117972,-0.02782170739738815,-325.1813917098116,-782.7522363886048,-727.9337444469456
5.9,-0.1135104118497491,-0.03026590456254322,-0.02783066212647067,-786.109216270451,-783.8198626588385,-728.1452765520681
6,-0.5099150866341948,-0.0303114867470825,-0.0278302129905729,-601.4569549990813,-784.7883870341884,-728.1524664294192
6.1,-0.5690045219779302,-0.03039583421291453,-0.02786814108697971,-601.4747241490068,-786.6853676030775,-729.0355177474929
6.2,-0.4628231513509614,-0.03050286446761866,-0.02792746668470256,-601.4490309658987,-789.0842351754703,-730.415665173992
6.3,-0.06081457102160003,-0.03065380074017635,-0.02803025155172969,-837.8936258881121,-792.54233876143,-732.7843917965084
6.4,-0.3287261959828252,-0.03075550621966981,-0.0280780694829208,-601.2093895286973,-794.8309252978329,-733.893379596585
6.5,-0.04525094752767095,-0.0309173706240326,-0.02818677189173135,-718.3671925756964,-798.4467841215858,-736.4135199662194
6.6,-0.07053517993596368,-0.03105296808952681,-0.02826456911676916,-857.5178825150226,-801.4156449561307,-738.2188948347359
6.7,-0.03976802904549502,-0.03122706094573257,-0.02837946658335599,-654.4185517214693,-805.3312013771946,-740.8710940561025
6.8,-0.4942529505797416,-0.03135104522218346,-0.02843827162604402,-601.460257997245,-807.9883308988088,-742.2463801267246
6.9,-0.2069227924925662,-0.03157007152536807,-0.02859290708077595,-601.1036262529938,-812.8991501029089,-745.793215231102
7,-0.4578901537114966,-0.0317487506722432,-0.02870134271189416,-601.4749585524251,-816.7293729411617,-748.3155345075473
7.1,-0.116447913173014,-0.03201217857200324,-0.02889313212272729,-783.0561867791944,-822.6086705789077,-752.6922051852192
7.2,-0.3709849678615766,-0.0322336041939125,-0.02903568061999028,-601.4725133303854,-827.331355109848,-755.9891424530755
7.3,-0.3596130550800954,-0.03251459846829488,-0.02923307309488812,-601.4737256027952,-833.4396200756462,-760.5016167320708
7.4,-0.3024860460392086,-0.03284454850849346,-0.0294721154678848,-601.418315670575,-840.6372767238178,-765.9283785095309
